id,product_id,name,brand,model,category,sector,description,price,currency,original_price,discount_percent,color,size,material,attributes,tags,in_stock,stock_quantity,installment_available,installment_months,monthly_payment,avg_rating,review_count,image_url,sku,weight_kg,warranty_months,shipping_free,created_at,updated_at
a9da6b57-1f44-4c13-8cfc-e419738863df,PROD-00001,West Elm Dining Chair,West Elm,Dining Chair,Dining,Furniture,Transform your space with the West Elm Dining Chair. Crafted from Fabric with elegant finish. Dimensions: 76W x 47D x 93H cm. Features modern design that complements any interior. Assembly: Professional delivery.,1686.64,USD,1809.46,7,Pink,One Size,Fabric,"{""color"": ""Pink"", ""material"": ""Fabric"", ""dims"": ""76W x 47D x 93H cm"", ""assembly"": ""Professional delivery""}",Dining|Furniture|West Elm,False,95,True,6,281.11,4.1,1721,https://images.unsplash.com/photo-1617806118233-18e1de247200?w=600,SKU-WES-34551,10.0,0,True,2025-05-02T06:44:21.340521,2025-12-22T10:08:35.877537
ded2fe23-01e1-42e5-9aab-1747fd816a64,PROD-00002,Moët & Chandon Rosé,Moët & Chandon,Rosé,Champagne,Wine,"Discover the Moët & Chandon Rosé from Bordeaux. This exceptional vintage features notes of citrus and mineral, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 12.8%.",441.81,USD,441.81,0,Black,One Size,Premium,"{""color"": ""Black"", ""region"": ""Bordeaux"", ""vintage"": ""2023"", ""abv"": ""12.8"", ""notes"": ""citrus and mineral""}",Champagne|Wine|Moët & Chandon,True,145,True,24,18.41,4.5,1075,https://images.unsplash.com/photo-1549918864-48ac978761a4?w=600,SKU-MOË-55444,12.13,12,True,2024-08-09T02:17:51.184068,2025-12-28T08:50:50.233282
124ca3e8-362b-4f3f-b17d-76e8344835db,PROD-00003,Penfolds Grange,Penfolds,Grange,Red Wine,Wine,"Discover the Penfolds Grange from Rioja. This exceptional vintage features notes of citrus and mineral, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 14.7%.",390.13,USD,390.13,0,Red,One Size,Premium,"{""color"": ""Red"", ""region"": ""Rioja"", ""vintage"": ""2020"", ""abv"": ""14.7"", ""notes"": ""citrus and mineral""}",Red Wine|Wine|Penfolds,False,62,True,12,32.51,5.0,870,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=600,SKU-PEN-97342,11.51,0,True,2025-07-12T04:04:31.353946,2026-01-10T23:21:33.071400
42cfb198-28e0-406c-b019-2a25eac1d299,PROD-00004,Seiko Prospex,Seiko,Prospex,Watches,Fashion,Elevate your style with the Seiko Prospex. Crafted from premium Leather in Gray colorway. Features relaxed fit construction for all-day comfort. Perfect for casual wear. Machine washable for easy care.,437.28,USD,437.28,0,Gray,L,Leather,"{""color"": ""Gray"", ""size"": ""L"", ""material"": ""Leather"", ""fit"": ""relaxed fit"", ""occasion"": ""casual wear""}",Watches|Fashion|Seiko,True,53,False,0,0.0,4.6,824,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=600,SKU-SEI-52724,2.84,24,True,2025-11-02T21:52:46.165312,2025-12-24T06:43:53.454175
99370dc4-ad82-46ee-b41b-af9680c135d0,PROD-00005,Kim Crawford Sauvignon Blanc,Kim Crawford,Sauvignon Blanc,White Wine,Wine,"Discover the Kim Crawford Sauvignon Blanc from Rioja. This exceptional vintage features notes of citrus and mineral, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 14.1%.",71.38,USD,71.38,0,Gray,One Size,Premium,"{""color"": ""Gray"", ""region"": ""Rioja"", ""vintage"": ""2023"", ""abv"": ""14.1"", ""notes"": ""citrus and mineral""}",White Wine|Wine|Kim Crawford,True,30,False,0,0.0,4.5,1293,https://images.unsplash.com/photo-1558001373-7b93ee48ffa0?w=600,SKU-KIM-20863,5.39,0,True,2024-11-24T09:32:46.952895,2025-12-22T13:35:22.392783
46f2745d-38e3-4eca-a516-e7e099288f0d,PROD-00006,Hendrick's Original Gin,Hendrick's,Original Gin,Spirits,Wine,"Discover the Hendrick's Original Gin from Tuscany. This exceptional vintage features notes of blackberry and oak, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 12.1%.",339.64,USD,360.02,6,Red,One Size,Premium,"{""color"": ""Red"", ""region"": ""Tuscany"", ""vintage"": ""2023"", ""abv"": ""12.1"", ""notes"": ""blackberry and oak""}",Spirits|Wine|Hendrick's,False,99,True,24,14.15,3.9,476,https://images.unsplash.com/photo-1569529465841-dfecdab7503b?w=600,SKU-HEN-68442,12.13,12,True,2024-06-28T21:40:17.700904,2026-01-05T19:59:28.906764
36baba3f-2519-4a2c-83b2-fdeea7c10036,PROD-00007,Apple Watch SE,Apple,Watch SE,Smartwatches,Electronics,"The Apple Watch SE combines cutting-edge technology with premium design. Features brilliant display, long battery life, and seamless connectivity. Built for those who demand the best in portable electronics.",860.23,USD,860.23,0,Navy,One Size,Premium,"{""color"": ""Navy"", ""processor"": ""Snapdragon 8"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""screen"": ""14-inch"", ""battery"": ""18 hours""}",Smartwatches|Electronics|Apple,True,97,False,0,0.0,4.9,1180,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=600,SKU-APP-57543,1.87,12,True,2024-02-09T13:49:53.179635,2025-12-27T15:17:55.190580
eec6ce26-3338-479e-a7ea-0e32f51c3399,PROD-00008,Stone Stone IPA,Stone,Stone IPA,Craft Beer,Wine,"Discover the Stone Stone IPA from Rioja. This exceptional vintage features notes of blackberry and oak, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 12.7%.",27.5,USD,27.5,0,Pink,One Size,Premium,"{""color"": ""Pink"", ""region"": ""Rioja"", ""vintage"": ""2021"", ""abv"": ""12.7"", ""notes"": ""blackberry and oak""}",Craft Beer|Wine|Stone,True,127,False,0,0.0,4.7,256,https://images.unsplash.com/photo-1535958636474-b021ee887b13?w=600,SKU-STO-78667,0.57,12,False,2025-05-09T22:04:39.267034,2026-01-07T00:29:36.317724
299b2bc2-a6b8-4088-b38e-04f77af87d15,PROD-00009,Kate Spade Knott Tote,Kate Spade,Knott Tote,Handbags,Fashion,Elevate your style with the Kate Spade Knott Tote. Crafted from premium Leather in Beige colorway. Features relaxed fit construction for all-day comfort. Perfect for casual wear. Machine washable for easy care.,297.8,USD,297.8,0,Beige,S,Leather,"{""color"": ""Beige"", ""size"": ""S"", ""material"": ""Leather"", ""fit"": ""relaxed fit"", ""occasion"": ""casual wear""}",Handbags|Fashion|Kate Spade,True,191,True,6,49.63,3.8,837,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600,SKU-KAT-58825,8.07,12,True,2024-06-30T05:16:29.026828,2026-01-08T08:24:24.652606
7f28508b-0ee2-4836-b4e3-ea042bc71678,PROD-00010,Lululemon Align Leggings,Lululemon,Align Leggings,Sports Apparel,Sports,Push your limits with the Lululemon Align Leggings. Engineered for peak performance with advanced technology and premium materials. Features ergonomic design for maximum comfort during intense workouts. Built to perform when it matters most.,125.43,USD,142.18,12,Green,One Size,Premium,"{""color"": ""Green""}",Sports Apparel|Sports|Lululemon,True,176,True,6,20.91,4.6,1928,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=600,SKU-LUL-66097,9.47,36,True,2025-09-03T11:09:42.463483,2025-12-21T20:48:52.785085
