id,product_id,name,brand,model,category,sector,description,price,currency,original_price,discount_percent,color,size,material,attributes,tags,in_stock,stock_quantity,installment_available,installment_months,monthly_payment,avg_rating,review_count,image_url,sku,weight_kg,warranty_months,shipping_free,created_at,updated_at
e83eeca4-3902-44eb-acf2-3e20fedb7287,PROD-00001,West Elm Dining Chair,West Elm,Dining Chair,Dining,Furniture,Transform your space with the West Elm Dining Chair. Crafted from Fabric with elegant finish. Dimensions: 76W x 47D x 93H cm. Features modern design that complements any interior. Assembly: Professional delivery.,1686.64,USD,1809.46,7,Pink,One Size,Fabric,"{""color"": ""Pink"", ""material"": ""Fabric"", ""dims"": ""76W x 47D x 93H cm"", ""assembly"": ""Professional delivery""}",Dining|Furniture|West Elm,False,95,True,6,281.11,4.1,1721,https://images.unsplash.com/photo-1617806118233-18e1de247200?w=600,SKU-WES-34551,10.0,0,True,2025-05-31T22:11:20,2025-12-27T03:38:22
b9a9041a-ecc7-4ad5-a216-d9c8689f0cbd,PROD-00002,Moët & Chandon Rosé,Moët & Chandon,Rosé,Champagne,Wine,"Discover the Moët & Chandon Rosé from Bordeaux. This exceptional vintage features notes of citrus and mineral, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 12.8%.",441.81,USD,441.81,0,Black,One Size,Premium,"{""color"": ""Black"", ""region"": ""Bordeaux"", ""vintage"": ""2023"", ""abv"": ""12.8"", ""notes"": ""citrus and mineral""}",Champagne|Wine|Moët & Chandon,True,145,True,24,18.41,4.5,1075,https://images.unsplash.com/photo-1549918864-48ac978761a4?w=600,SKU-MOË-55444,12.13,12,True,2024-02-09T16:38:37,2026-01-04T02:21:42
240f8a33-b32a-4677-bfae-763d5ee9254a,PROD-00003,Penfolds Grange,Penfolds,Grange,Red Wine,Wine,"Discover the Penfolds Grange from Rioja. This exceptional vintage features notes of citrus and mineral, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 14.7%.",390.13,USD,390.13,0,Red,One Size,Premium,"{""color"": ""Red"", ""region"": ""Rioja"", ""vintage"": ""2020"", ""abv"": ""14.7"", ""notes"": ""citrus and mineral""}",Red Wine|Wine|Penfolds,False,62,True,12,32.51,5.0,870,https://images.unsplash.com/photo-1510812431401-41d2bd2722f3?w=600,SKU-PEN-97342,11.51,0,True,2024-07-29T11:31:28,2026-01-01T13:59:19
5ea5f1a1-0c55-4ea1-a00e-f7748b141ab1,PROD-00004,Seiko Prospex,Seiko,Prospex,Watches,Fashion,Elevate your style with the Seiko Prospex. Crafted from premium Leather in Gray colorway. Features relaxed fit construction for all-day comfort. Perfect for casual wear. Machine washable for easy care.,437.28,USD,437.28,0,Gray,L,Leather,"{""color"": ""Gray"", ""size"": ""L"", ""material"": ""Leather"", ""fit"": ""relaxed fit"", ""occasion"": ""casual wear""}",Watches|Fashion|Seiko,True,53,False,0,0.0,4.6,824,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=600,SKU-SEI-52724,2.84,24,True,2024-05-08T15:35:05,2025-12-26T17:20:41
593cdce7-5fdb-4dcf-b499-e639048229fb,PROD-00005,Kim Crawford Sauvignon Blanc,Kim Crawford,Sauvignon Blanc,White Wine,Wine,"Discover the Kim Crawford Sauvignon Blanc from Rioja. This exceptional vintage features notes of citrus and mineral, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 14.1%.",71.38,USD,71.38,0,Gray,One Size,Premium,"{""color"": ""Gray"", ""region"": ""Rioja"", ""vintage"": ""2023"", ""abv"": ""14.1"", ""notes"": ""citrus and mineral""}",White Wine|Wine|Kim Crawford,True,30,False,0,0.0,4.5,1293,https://images.unsplash.com/photo-1558001373-7b93ee48ffa0?w=600,SKU-KIM-20863,5.39,0,True,2025-06-29T21:00:07,2026-01-17T05:19:39
ae2c1d44-655e-4c80-853f-9016f6830d42,PROD-00006,Hendrick's Original Gin,Hendrick's,Original Gin,Spirits,Wine,"Discover the Hendrick's Original Gin from Tuscany. This exceptional vintage features notes of blackberry and oak, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 12.1%.",339.64,USD,360.02,6,Red,One Size,Premium,"{""color"": ""Red"", ""region"": ""Tuscany"", ""vintage"": ""2023"", ""abv"": ""12.1"", ""notes"": ""blackberry and oak""}",Spirits|Wine|Hendrick's,False,99,True,24,14.15,3.9,476,https://images.unsplash.com/photo-1569529465841-dfecdab7503b?w=600,SKU-HEN-68442,12.13,12,True,2024-03-28T19:04:00,2026-01-19T09:54:11
88ef5578-af9f-4aac-88af-5d26c6a71dae,PROD-00007,Apple Watch SE,Apple,Watch SE,Smartwatches,Electronics,"The Apple Watch SE combines cutting-edge technology with premium design. Features brilliant display, long battery life, and seamless connectivity. Built for those who demand the best in portable electronics.",860.23,USD,860.23,0,Navy,One Size,Premium,"{""color"": ""Navy"", ""processor"": ""Snapdragon 8"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""screen"": ""14-inch"", ""battery"": ""18 hours""}",Smartwatches|Electronics|Apple,True,97,False,0,0.0,4.9,1180,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=600,SKU-APP-57543,1.87,12,True,2024-12-13T23:36:08,2025-12-23T06:57:32
38a5b55e-18ed-4b14-aa86-f6cc8329dd1d,PROD-00008,Stone Stone IPA,Stone,Stone IPA,Craft Beer,Wine,"Discover the Stone Stone IPA from Rioja. This exceptional vintage features notes of blackberry and oak, with a smooth, lingering finish. Perfect with grilled meats and aged cheese. Alcohol: 12.7%.",27.5,USD,27.5,0,Pink,One Size,Premium,"{""color"": ""Pink"", ""region"": ""Rioja"", ""vintage"": ""2021"", ""abv"": ""12.7"", ""notes"": ""blackberry and oak""}",Craft Beer|Wine|Stone,True,127,False,0,0.0,4.7,256,https://images.unsplash.com/photo-1535958636474-b021ee887b13?w=600,SKU-STO-78667,0.57,12,False,2024-02-13T09:52:11,2025-12-26T07:05:32
f4a69e9b-a032-4c6e-82e2-a3d2ae3c4b19,PROD-00009,Kate Spade Knott Tote,Kate Spade,Knott Tote,Handbags,Fashion,Elevate your style with the Kate Spade Knott Tote. Crafted from premium Leather in Beige colorway. Features relaxed fit construction for all-day comfort. Perfect for casual wear. Machine washable for easy care.,297.8,USD,297.8,0,Beige,S,Leather,"{""color"": ""Beige"", ""size"": ""S"", ""material"": ""Leather"", ""fit"": ""relaxed fit"", ""occasion"": ""casual wear""}",Handbags|Fashion|Kate Spade,True,191,True,6,49.63,3.8,837,https://images.unsplash.com/photo-1584917865442-de89df76afd3?w=600,SKU-KAT-58825,8.07,12,True,2024-07-09T02:07:00,2026-01-02T00:59:56
d5a92318-99ff-46b0-829a-ac4d8ee1791e,PROD-00010,Lululemon Align Leggings,Lululemon,Align Leggings,Sports Apparel,Sports,Push your limits with the Lululemon Align Leggings. Engineered for peak performance with advanced technology and premium materials. Features ergonomic design for maximum comfort during intense workouts. Built to perform when it matters most.,125.43,USD,142.18,12,Green,One Size,Premium,"{""color"": ""Green""}",Sports Apparel|Sports|Lululemon,True,176,True,6,20.91,4.6,1928,https://images.unsplash.com/photo-1556906781-9a412961c28c?w=600,SKU-LUL-66097,9.47,36,True,2025-02-16T18:54:53,2026-01-19T23:19:55
